username,age,gender,text,thread_replies,avatar_url
backat50ft.bsky.social,49,Man,"We're still not even sure why or how I managed to lose it. I do know depression was involved, as I lost two jobs in a row (one layoff, one company closed), as well as being diagnosed with ADHD. But I also started massively cleaning up my diet, and remembering I can love myself without consequence.","Meaning there's no shame in being me, and no guilt, because fuck religion. Being a #BiGuy rules and you can't make me feel bad about it. But I digress, having lost my 60 pounds, I'm able to take taekwondo far more seriously now, and while I'm still fairly inflexible, somehow, I can kick effing...",https://cdn.bsky.app/img/avatar/plain/did:plc:hnmmkkgbr64k3d4duxw5qt3v/bafkreihjthih77wvrkol42caysi2o5bxvz6mextxfxc7nha2yetzxu445u@jpeg
bigstupidbaby.bsky.social,50,Man,No I just lied and said I was diagnosed with depression instead of bipolar disorder in order to get Wellbutrin bc it can make you skinny and then it sent me into a months long manic episode followed by the most insane crash out,Totally understandable. Whomst among us hasn't made some questionable choices leading to a months long manic episode followed by a crash?,https://cdn.bsky.app/img/avatar/plain/did:plc:4p37tbtgtaeqh75fqa5msknd/bafkreia6ffzgwstettgnebn6gh46vdamxj72b6kknejcywu7rg4dw2ndca@jpeg
deloris40.bsky.social,51,Woman,"I Googled, 'Nothing is wrong with me. I feel down.' The first result was major depressive disorder. No surprise, I was diagnosed with depression by a therapist. 

I just had a thought. Was I the class clown in high school to cover up my depression?",,https://cdn.bsky.app/img/avatar/plain/did:plc:w7czu5f6xtf5onqzd2hckhb6/bafkreihwb2lu4bfbpbgrahecuzdes54xcueey7l5cdyzz3n6mjhps2bds4@jpeg
smilodonichthys.bsky.social,45,Woman,"i was on SSRIs for years before being diagnosed with ADHD & getting on adderal

ADHD often leads to depression and anxiety because it makes it difficult to reach your goals and do things with your life

but i suppose they dont teach that in Harvard",,https://cdn.bsky.app/img/avatar/plain/did:plc:qeoub4zavdlnwoufa4ketosn/bafkreic6kzj5cb4w25j5i57vr2dmyfnj5gg5ujsxwk34c3p4korvrcsm4m@jpeg
geoffdeburca.bsky.social,49,Man,"In 2000 I was diagnosed with depression. I'm lucky in that I can go 3-4 years without a bout, and a bout rarely lasts more than a year. It's become part of my life that I've learned to live with.

It may sound trite, but one of the things that is a huge help is music, especially a certain type...",,https://cdn.bsky.app/img/avatar/plain/did:plc:xi2n7tgjmzti32syfzjln4zp/bafkreic3eqbtgq7tvhbjfcce3pmcp4ek24ufucv64bg3n2wfiipyno6ski@jpeg
dannybrown.me,47,Woman,"In 2019, I was diagnosed with depression. My wife has battled depression and anxiety for 20 years. In this episode of Mental Health and Us, we talk about that and why it's okay to not be okay. #MentalHealthAwarenessDay #YellowisForHello...","

https://player.captivate.fm/episode/c80a12d3-3243-491b-ad35-6e68009e6bc5",https://cdn.bsky.app/img/avatar/plain/did:plc:ekidbyxs53du2m2rzjcjwvaq/bafkreicok5r5gnwvpvixrouxtgsqy5xe3kclkshfgt3hg5u3cxheh25qfq@jpeg
faketomalfano.bsky.social,47,Man,"Just recently had a major depressive episode and was diagnosed bpII, still trying to get the meds sorted out, it fucking sucks. And it has derailed my life plans quite significantly, unfortunately",,https://cdn.bsky.app/img/avatar/plain/did:plc:kss3rritumuxl57nab3sxerb/bafkreibuc6dqeknojmc54xo4yvu3hi6qn3lkzwwnmk6d4pb3n57tijtp2u@jpeg
nettienoel.bsky.social,46,Man,"Lmfao

I am a queer woman in a red state. I may not have a diagnosis but that’s because I can’t afford to go to a doctor and haven’t been in two years. 

I am not neurotypical even if you don’t want to accept my self-diagnosis because I have been diagnosed with adhd, depression, and OCD back when I",,https://cdn.bsky.app/img/avatar/plain/did:plc:3jzulhkagglbutylpyi7undh/bafkreibrr7piz66xs2g7anzygjoslb3bg6l2jdbvd6emrylhvjdvlc6ybq@jpeg
errorcrater.bsky.social,47,Man,"it's weird how friends and family know i have been clinically diagnosed since 04-06 as having major depression & adhd and yet they keep asking me unanswerable questions like ""so, how's it going?"" like they expect me to come up with a new way of telling carlin's fake news bit about the rollercoaster",,https://cdn.bsky.app/img/avatar/plain/did:plc:u5atsljelevxxes4nw3kfs4k/bafkreiftz3t3pm6r7vbkjc4fup3riq3mkp7aika6ipa6g2d44sntgr2xs4@jpeg
eliseswritings.bsky.social,45,Man,There was a similar thing in my family. The academically brilliant brother with undiagnosed AuDHD and diagnosed bipolar could 'do no wrong'. But the AuDHD sister with depression and anxiety? Oughtn't she be more or less perfect?,Gotta love misogyny. Ugh. I hope the sister got help.,https://cdn.bsky.app/img/avatar/plain/did:plc:bk37xx5fs2pgrzfybk3n5an2/bafkreibv4o75n6r3d2o7w7bub4lpvkq7uztb3dsjqqjgy3ajogrkorwbae@jpeg
goodbyequacks.bsky.social,45,Woman,"My son was diagnosed with ""incurable"" ""bipolar with psychosis"" and yet he was cured with homeopathy. DSM ""diagnoses"" are just labels. What matters is what's causing the anxiety, depression, etc so it can be cured. I hired Elaine Lewis at hpathy.com. She's amazing and simply worked with me via emails",,https://cdn.bsky.app/img/avatar/plain/did:plc:op7jylxgfcmq52i6f7fe4sqo/bafkreiaas4ajjzqb44zpusc6cwiqf6f5wlpk54b2x3op2y7chigavaadji@jpeg
rachelyohe.bsky.social,46,Woman,My cousin has been having declining health for a few years now. Mostly attributed by her PCP as anxiety and depression symptoms. Saw a cardiologist. Got into a neurologist after almost a year wait and got diagnosed with POTS. She has to get a referral from her PCP for another specialist and her PCP,has been so ambivalent about her care- just refers everything to psychiatry. My cousin lives in a rural town and a different PCP agreed to take her after a relative asked at the feed store for an appointment for her from the doctor himself and he got her in that week. Referred her to a different,https://cdn.bsky.app/img/avatar/plain/did:plc:hn5lxalckmlcomupkp7kaxbf/bafkreiegedr23vcubi47mxamjerl3iedadf62d7nx4tu3rr3kfkgidbh4y@jpeg
cattsent.bsky.social,46,Man,"guess who just got diagnosed with GAD, major depression, and BPD!!!!!! me sorry wrong tone this is not good news",three new prescriptions including A SEDATIVE!!!!! let's fucking goooooo (to sleep!!!),https://cdn.bsky.app/img/avatar/plain/did:plc:k7czshqlj263mvw7ozwmchli/bafkreihk66t6sv26ni2zelitqbeh23fifm2pbumywesmzxaqwhvc6jq26i@jpeg
ewawashdc.bsky.social,53,Man,"I too am an adult with ADHD and plagued with depression! 

I always appreciate the insights of others similarly diagnosed so we can show the world that we function quite well among others and that there is shame!🤟",No shame (typing on the phone is not my strong suit!) 🤣,https://cdn.bsky.app/img/avatar/plain/did:plc:hinbwuuopvpl3yomtfhkur7u/bafkreifzpqz2ybwsmyyfrk7fsm5i2zsbvsl4vpeanbyudotafvjd5pi3b4@jpeg
joshuamneff.bsky.social,45,Man,"The only time I've used that word on myself is when a psychologist diagnosed me with Generalized Anxiety and Depression and I didn't want to face that truth. ""No, I'm just quirky! Like when I can't get myself to leave the house or go into buildings I've never been before. Quirky!""","this is a great use of the word, i don’t have sleep paralysis im just quirky !!!!!!",https://cdn.bsky.app/img/avatar/plain/did:plc:roc7n3wjvqpghxe3swly35pm/bafkreihi7brbtyletqxceuejsjf2a343my5uu5xwhf57il4vphhjrqhneq@jpeg
nerdyshanti.bsky.social,48,Man,About two years ago I was checked into a psychiatric center during a hypomanic depressive episode which would lead to me being diagnosed with bipolar disorder. It’s crazy to think about where I am now compared to then. Feeling very blessed today 🧡💙,Very glad you are doing well,https://cdn.bsky.app/img/avatar/plain/did:plc:ah6o7wjft2hwzujll7s44chx/bafkreia2zblapetvtrcow7fytnpyfcnvt7ncfastyi6j6x3wldi4277hm4@jpeg
guylejeune.bsky.social,54,Man,"Ah. Yeah. Better than before. Meltdown, burnout, breakdown, depression, recovery, autism and adhd diagnosis, therapy and happy pills and my memory is only missing several months. It’s been real but I’m ok. Hope you’re good and thriving.","Wow. That’s a lot! 
Would love to say it’s been smooth sailing this side, but most certainly not! I’m not hiding in our slice of paradise on a farm in the middle of Cataluña and my god it’s done wonders for my mental health. Please tell me you’re still writing?… 🤞",https://cdn.bsky.app/img/avatar/plain/did:plc:gxpc2r6xpub3qqonrehesm7e/bafkreie233aiioybtlzzjd4frajljj47koxuswjywofrjxzampslhtxv7a@jpeg
sansets.bsky.social,45,Woman,"It's not that I don't understand the reasoning behind all of my health care providers asking me questions from the various anxiety and depression assessments prior to appointments, but like. I HAVE A DIAGNOSIS IN BOTH OF THINGS, THIS IS WHAT THE DRUGS ARE FOR????","(At least today's assessment was a part of this longitudinal health study I'm doing through NIH, so this is a NEW group of folks that I get to say ""Yes, I did feel bad about a quarter of the time, and you know what, that is an improvement! BE PROUD OF ME!!"")",https://cdn.bsky.app/img/avatar/plain/did:plc:6bsblzq4riq3cl523eedrlqn/bafkreihekogl5av4sfm7x3yzzebf5cqma47adus77oqqv6ded53fcpfmrm@jpeg
calmthoughts.bsky.social,50,Man,"I hope you find the best solutions for you. My issues started with ADHD; quite severe, never diagnosed until age 38, (major bummer). Depression, (me also)accompanies it in About 35+% who have it. Generic Bupropion (originally Zyban to stop smoking), 2 per day, works fairly well for me. Best wishes.",Yes that’s the same as Wellbutrin that sent me cuckoo. I ended up in the ER. My friends husband had to pick me up and bring me bc I couldn’t drive myself. This is what I’m saying.,https://cdn.bsky.app/img/avatar/plain/did:plc:rycsd4favezdeqzcrtjsebrs/bafkreifbbllt62grxs43sk6hqemvswk7ucbsaubhorjmprs7m7ayxwnz3u@jpeg
asher.wolfste.in,45,Man,"Side note: I have clinical treatment-resistant chronic major depression; nothing to do with irrational or dangerous anger, psychosis, or mania.

Like most Borderline individuals, most people have no idea I have been diagnosed with Borderline Personality Disorder until I tell them.",,https://cdn.bsky.app/img/avatar/plain/did:plc:v2j2g5pdghrwazhbw6gvxtdp/bafkreibjse7j7n6swarslnj76ec6pu43on2qeshoyoht3zezcxguljsrp4@jpeg
m1551ngl1nk.bsky.social,48,Woman,"In high school, I attempted to apply for the Air Force. I had a depression diagnosis at the time, as well as astigmatism. I now know I'm Autistic. For an aspiring fighter pilot, I felt like a disappointment in a family with 2 Air Force veterans. I can't describe this feeling.
#history, #airforce",,https://cdn.bsky.app/img/avatar/plain/did:plc:dgmdgn6ml52zoqiihytvtzoa/bafkreid3ho65rjnhevyp3phppwero2c57e23sle5hpwur6onztdaptglcm@jpeg
deepcutsnine.bsky.social,45,Man,"5. I was the first one in my family to get a mobile phone, depression diagnosis and a credit card. (in that order)",6. before my nerd era I was a muse fan and o guess they're still my favourite band? and in some way the love of my life? anyway I've seen them live over a hundred times.,https://cdn.bsky.app/img/avatar/plain/did:plc:5jivyx75u2vjwy4zmjv7qqhx/bafkreielceqgsoyajvlfa63c2is7rw33wrqtdxab3a46vkkmyqs4y323xi@jpeg
stephmu00mls.bsky.social,53,Woman,"Me:

major depression diagnosis in December 2006 (at age 28, when I finally sought psychological help - that wasn't a high priority for my parents, which was unfortunately *common* in '80s, early '90s)

#ActuallyAutistic (Asperger's, shortly before DSM 5 came out & eliminated that dx) - April '13","... AND a lot of absymally low self-esteem & people-pleasing inclination bc of emotional/verbal (occasionally physical) abuse from father,

& guilt-tripping ""what would other people think of you"" ad nauseam garbage from my mother (who was far from rich)!",https://cdn.bsky.app/img/avatar/plain/did:plc:bvkbdihlhqhdu3bxnnm7ze6u/bafkreibnk5vjjnndvz6yvgpj4pemjwphoctgpke3njfno6wywufammcnxa@jpeg
inigopurcell.bsky.social,45,Man,"The bit where she starts claiming that loads of neurodiverse people have left jobs or courses and maybe they wouldn't have done so without a diagnosis (rather than acknowledging that they most likely would, it would just have been with a nebulous diagnosis of depression or none at all)",(The article as a whole is such a case study in sounding superficially reasonable and sympathetic while actually being vile. And frequently framing things as though disabled people are never approaching anything with nuance and are making the most unreasonable version of any argument) | And also that having a diagnosis and then - vitally - apt accommodations & management - is much more likely to keep a person able to work 🙃,https://cdn.bsky.app/img/avatar/plain/did:plc:qclf3gjbpk5lzmkdre55ht3n/bafkreie3ohqrr7hzurdnwx3v5fpwlagus6mi7j3ms4jv7njapot6wxvcqq@jpeg
yourmandevine.bsky.social,47,Man,"That's perfect, especially if at a certain point you realize you have been playing Pac-Man for about 36 consecutive hours and start to wonder if maybe that is an unofficial depression diagnosis",,https://cdn.bsky.app/img/avatar/plain/did:plc:4xpj3xjxsxxcuh3ghaulzdqu/bafkreie77pnd6j5fy5mzwremcw4kyhpjab25yvzq7qjldoaz5t3vbbqpza@jpeg
caudlewag.bsky.social,50,Man,"The time change is soon, thank all the Gods you can name. I'm so tired of it getting dark at 6pm. My regular depression does not also need the seasonal sort on top like some hideous hat. 

Particularly not now, I've got so much going on with mom's diagnosis.",,https://cdn.bsky.app/img/avatar/plain/did:plc:mmom76seh7nn3ngvcbojbapj/bafkreib7lms6j6iyeiiq637tayi7ukkk4wvlk5jhucsagdbpo4bkjxfqoq@jpeg
mrikigai.bsky.social,52,Man,"I got the diagnosis (not my choice) several of them actually and knowing that there’s no cure I’d rather not know and just live whatever time I have left without all the doctor visits, trips to the hospital, medication changes, stress, depression, constant tests.  I think I’d be happier not knowing.","Same. | I agree. I don't like going and the cost is another issue, it's for profit so they are trying to find something. But I've watched family and friends go through serious health issues and the mental anguish was more brutal than the disease. Scan was good, scan was bad, rollercoaster till death",https://cdn.bsky.app/img/avatar/plain/did:plc:3qn2gjwhxis363u3mweocqg7/bafkreihnaqvq2yqytzokq35o4nhjhr2df5a67ms3vm367dvi4ifui3igxu@jpeg
mawshie.bsky.social,48,Man,"I mean, ever since I was young I’ve always been quiet and kept to myself so often but also I was diagnosed with depression & anxiety which makes it even more difficult to communicate",I need to go back to therapy LMAO | It’s funny thinking about it now cause my mom gave me a coaster that says to always get out of my comfort zone which I’ve been trying lmao,https://cdn.bsky.app/img/avatar/plain/did:plc:mrcgmo2l5yjn37xbtwu3mvuw/bafkreigfeyp6cmxhjtfhdcflqbhxxdpi4mkak5jdpu7yozar4pomriyyra@jpeg
proudstoic.bsky.social,48,Man,Musk may not be mentally stable. He has been diagnosed with Asperger syndrome which is a form of autism. He also suffers from depression and possibley PTSD due to things that happened to him during his childhood. He is taking ketamine which is a drug used to treat some forms of mental illness.,,https://cdn.bsky.app/img/avatar/plain/did:plc:jvyafoqcbqp3gsvcqdegs3ig/bafkreiat4ubi7ctnal2htann3ew2vwnhndenr7a6p4ymefkblc7reeuzci@jpeg
mawshie.yaps.fyi,48,Man,"I mean, ever since I was young I’ve always been quiet and kept to myself so often but also I was diagnosed with depression & anxiety which makes it even more difficult to communicate",I need to go back to therapy LMAO | It’s funny thinking about it now cause my mom gave me a coaster that says to always get out of my comfort zone which I’ve been trying lmao,https://cdn.bsky.app/img/avatar/plain/did:plc:mrcgmo2l5yjn37xbtwu3mvuw/bafkreigfeyp6cmxhjtfhdcflqbhxxdpi4mkak5jdpu7yozar4pomriyyra@jpeg
